datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2012-06-23,1340384400,91.4,77.0,83.6,104.5,77.0,90.2,75.8,78.4,0.0,0.0,0.0,,,,,15.0,235.6,1007.0,56.6,6.3,114.1,9.8,4.0,05:32:49,1340404369,18:18:04,1340450284,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48900099999', 'VVTS']",obs
2012-06-24,1340470800,92.0,77.0,83.8,103.1,77.0,89.2,75.0,76.8,0.02,100.0,20.83,['rain'],,,,13.9,247.1,1007.7,56.7,6.5,148.5,12.8,5.0,05:33:02,1340490782,18:18:16,1340536696,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['48900099999', 'VVTS']",obs
2012-06-25,1340557200,91.7,75.2,83.7,102.6,75.2,89.3,75.1,77.2,0.0,0.0,0.0,,,,,12.8,240.8,1008.3,40.5,6.4,186.8,16.2,6.0,05:33:17,1340577197,18:18:27,1340623107,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48900099999', 'VVTS']",obs
2012-06-26,1340643600,91.8,75.2,83.4,102.0,75.2,88.8,74.8,77.1,0.02,100.0,20.83,['rain'],,,,17.2,244.2,1007.8,47.5,6.2,174.1,15.3,6.0,05:33:31,1340663611,18:18:38,1340709518,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48900099999', 'VVTS', 'remote']",obs
2012-06-27,1340730000,91.4,73.4,81.6,102.6,73.4,85.2,75.1,82.4,0.298,100.0,100.0,['rain'],,,,12.8,259.6,1007.6,68.2,6.2,140.0,12.1,5.0,05:33:46,1340750026,18:18:48,1340795928,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS', 'remote']",obs
2012-06-28,1340816400,89.7,75.2,80.8,100.5,75.2,85.0,74.8,83.6,0.112,100.0,87.5,['rain'],,,,13.9,261.5,1007.0,64.6,6.0,181.7,15.6,6.0,05:34:00,1340836440,18:18:57,1340882337,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-06-29,1340902800,92.0,73.4,79.4,101.9,73.4,82.5,74.8,87.7,0.29,100.0,87.5,['rain'],,,25.3,21.9,242.1,1005.9,75.2,6.0,103.9,9.0,4.0,05:34:15,1340922855,18:19:06,1340968746,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-06-30,1340989200,89.3,73.5,78.5,103.7,73.5,81.7,75.1,90.0,0.389,100.0,100.0,['rain'],,,,21.9,236.7,1005.7,88.3,5.4,116.2,10.1,4.0,05:34:30,1341009270,18:19:15,1341055155,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-07-01,1341075600,88.4,73.4,79.4,99.9,73.4,83.5,75.6,88.9,0.256,100.0,100.0,['rain'],,,,12.0,238.1,1006.2,83.4,6.0,153.3,13.3,5.0,05:34:45,1341095685,18:19:22,1341141562,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS', 'remote']",obs
2012-07-02,1341162000,90.2,73.4,79.5,102.5,73.4,82.4,75.3,87.9,0.16,100.0,91.67,['rain'],,,,19.7,248.4,1006.4,88.2,6.0,144.9,12.6,5.0,05:35:00,1341182100,18:19:29,1341227969,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS', 'remote']",obs
2012-07-03,1341248400,91.4,73.4,79.7,105.1,73.4,84.0,76.1,90.2,1.033,100.0,100.0,['rain'],,,21.9,21.9,268.4,1004.1,72.7,5.7,154.9,13.3,6.0,05:35:15,1341268515,18:19:35,1341314375,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-07-04,1341334800,87.8,75.2,80.1,102.3,75.2,85.7,76.9,90.3,0.547,100.0,100.0,['rain'],,,,11.4,249.3,1003.3,77.5,6.5,174.7,14.9,6.0,05:35:31,1341354931,18:19:41,1341400781,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-07-05,1341421200,90.0,77.0,82.3,101.1,77.0,87.5,75.6,81.1,0.076,100.0,79.17,['rain'],,,,14.1,227.0,1004.6,70.3,6.5,161.5,13.9,6.0,05:35:47,1341441347,18:19:46,1341487186,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS', 'remote']",obs
2012-07-06,1341507600,89.6,76.9,82.0,100.3,76.9,86.7,75.9,82.6,0.116,100.0,87.5,['rain'],,,,12.8,230.4,1006.0,75.6,6.4,130.4,11.2,5.0,05:36:02,1341527762,18:19:51,1341573591,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS', 'remote']",obs
2012-07-07,1341594000,90.0,75.2,80.3,101.3,75.2,83.9,76.1,87.9,0.22,100.0,100.0,['rain'],,,,13.9,214.2,1005.8,76.3,6.2,128.8,11.2,5.0,05:36:18,1341614178,18:19:55,1341659995,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS', 'remote']",obs
2012-07-08,1341680400,91.4,74.8,80.1,105.5,74.8,83.9,76.2,89.1,0.754,100.0,100.0,['rain'],,,28.9,15.9,228.3,1006.1,81.1,5.9,153.6,13.5,5.0,05:36:33,1341700593,18:19:58,1341746398,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-07-09,1341766800,89.6,73.4,78.9,105.1,73.4,82.1,75.8,91.0,0.899,100.0,83.33,['rain'],,,,9.2,194.2,1007.1,72.8,6.0,171.9,14.8,6.0,05:36:49,1341787009,18:20:00,1341832800,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS', 'remote']",obs
2012-07-10,1341853200,91.4,75.2,80.5,105.1,75.2,85.3,75.6,86.8,0.828,100.0,79.17,['rain'],,,,12.8,225.7,1007.2,75.8,5.4,139.3,12.0,5.0,05:37:04,1341873424,18:20:01,1341919201,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-07-11,1341939600,87.8,75.2,78.1,102.3,75.2,80.7,76.4,95.1,0.869,100.0,100.0,['rain'],,,,15.2,214.8,1006.9,82.6,5.5,149.9,13.0,5.0,05:37:19,1341959839,18:20:02,1342005602,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-07-12,1342026000,91.6,73.4,78.6,105.4,73.4,81.7,74.9,89.9,0.398,100.0,100.0,['rain'],,,,20.0,232.3,1007.5,80.6,5.9,153.3,13.2,5.0,05:37:34,1342046254,18:20:02,1342092002,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
2012-07-13,1342112400,87.9,73.4,78.8,102.3,73.4,82.9,75.7,91.2,0.148,100.0,79.17,['rain'],,,36.9,25.3,186.3,1007.9,69.3,6.3,216.5,18.6,8.0,05:37:49,1342132669,18:20:01,1342178401,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48900099999', 'VVTS']",obs
