datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2009-09-27,1253984400,87.9,73.5,78.9,100.9,73.5,82.5,76.5,93.0,,0.0,0.0,,,,,18.3,263.1,1005.5,87.9,5.6,,,,05:42:03,1254004923,17:46:17,1254048377,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-09-28,1254070800,84.8,75.3,79.6,94.0,75.3,82.7,75.7,88.4,,0.0,0.0,,,,,13.9,258.8,1003.1,90.4,6.6,,,,05:42:00,1254091320,17:45:39,1254134739,0.3,Overcast,Cloudy skies throughout the day.,cloudy,['48900099999'],obs
2009-09-29,1254157200,84.5,77.1,80.5,93.5,77.1,84.6,76.2,87.0,,0.0,0.0,,,,,16.1,251.4,1000.5,82.1,6.6,,,,05:41:58,1254177718,17:45:01,1254221101,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-09-30,1254243600,87.9,74.6,79.3,100.2,74.6,82.4,76.3,91.7,,0.0,0.0,,,,,17.2,260.5,1002.7,90.0,5.7,,,,05:41:56,1254264116,17:44:24,1254307464,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-01,1254330000,89.7,75.3,80.9,100.5,75.3,85.4,76.3,87.2,,0.0,0.0,,,,,12.8,234.3,1006.0,70.8,6.6,,,,05:41:54,1254350514,17:43:46,1254393826,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-02,1254416400,89.9,75.3,82.6,100.9,75.3,88.6,76.7,84.0,,0.0,0.0,,,,,12.8,251.1,1008.0,56.7,6.6,,,,05:41:52,1254436912,17:43:09,1254480189,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-03,1254502800,85.7,75.3,80.5,98.1,75.3,84.7,78.2,93.1,,0.0,0.0,,,,,12.8,240.8,1008.4,76.3,6.4,,,,05:41:51,1254523311,17:42:33,1254566553,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-04,1254589200,89.7,73.5,79.8,100.5,73.5,85.2,76.4,90.1,,0.0,0.0,,,,,10.3,165.6,1009.0,74.2,5.5,,,,05:41:50,1254609710,17:41:56,1254652916,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-05,1254675600,91.5,77.1,82.2,101.2,77.1,87.7,77.3,86.6,,0.0,0.0,,,,,12.8,138.1,1008.4,55.8,5.5,,,,05:41:49,1254696109,17:41:20,1254739280,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-06,1254762000,89.7,75.3,80.6,100.5,75.3,84.4,76.1,87.1,,0.0,0.0,,,,,13.9,164.0,1008.0,66.7,6.0,,,,05:41:49,1254782509,17:40:45,1254825645,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-07,1254848400,89.3,75.3,80.6,100.2,75.3,84.5,76.0,86.9,,0.0,0.0,,,,,13.9,226.2,1007.5,72.2,6.6,,,,05:41:49,1254868909,17:40:10,1254912010,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-08,1254934800,89.7,77.1,81.5,100.5,77.1,85.6,76.0,84.6,,0.0,0.0,,,,,19.7,221.0,1007.3,65.7,6.6,,,,05:41:49,1254955309,17:39:35,1254998375,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-09,1255021200,88.1,75.3,78.3,98.3,75.3,79.9,75.8,93.0,,0.0,0.0,,,,,11.4,209.9,1007.6,72.9,6.5,,,,05:41:50,1255041710,17:39:01,1255084741,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-10,1255107600,87.9,75.3,79.3,100.2,75.3,82.3,75.4,88.5,,0.0,0.0,,,,,10.3,195.6,1008.8,83.3,6.6,,,,05:41:51,1255128111,17:38:27,1255171107,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-11,1255194000,84.3,73.5,77.0,92.7,73.5,77.9,75.2,94.5,,0.0,0.0,,,,,12.8,146.5,1010.3,71.3,5.8,,,,05:41:52,1255214512,17:37:54,1255257474,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-12,1255280400,88.4,73.5,80.2,97.0,73.5,83.9,74.4,84.0,,0.0,0.0,,,,,6.9,244.8,1010.2,49.2,6.3,,,,05:41:54,1255300914,17:37:21,1255343841,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-13,1255366800,90.2,73.5,81.9,99.3,73.5,86.5,74.6,80.7,,0.0,0.0,,,,,8.1,280.8,1010.4,40.0,5.8,,,,05:41:57,1255387317,17:36:49,1255430209,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-14,1255453200,93.3,75.3,83.1,103.1,75.3,89.1,75.8,80.5,,0.0,0.0,,,,,12.8,285.1,1010.1,46.7,6.5,,,,05:41:59,1255473719,17:36:18,1255516578,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-15,1255539600,91.5,73.5,80.3,101.9,73.5,84.1,75.0,85.7,,0.0,0.0,,,,,18.3,89.7,1009.6,68.3,5.9,,,,05:42:03,1255560123,17:35:47,1255602947,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-16,1255626000,90.2,73.5,78.2,106.3,73.5,81.6,75.5,92.2,,0.0,0.0,,,,,10.3,267.6,1008.9,75.2,5.8,,,,05:42:07,1255646527,17:35:17,1255689317,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-17,1255712400,84.5,75.3,79.3,96.9,75.3,83.2,77.1,93.4,,0.0,0.0,,,,,10.3,296.3,1007.0,87.1,5.3,,,,05:42:11,1255732931,17:34:47,1255775687,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-18,1255798800,89.0,71.7,76.7,108.2,71.7,79.8,74.5,93.6,,0.0,0.0,,,,,10.3,256.2,1007.9,80.0,6.3,,,,05:42:16,1255819336,17:34:18,1255862058,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-19,1255885200,89.7,73.5,79.8,105.4,73.5,84.7,76.3,89.9,,0.0,0.0,,,,,10.3,278.2,1008.5,66.3,6.3,,,,05:42:21,1255905741,17:33:50,1255948430,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-20,1255971600,89.7,75.3,81.5,101.7,75.3,86.8,76.7,86.8,,0.0,0.0,,,,,10.3,215.2,1008.8,64.2,6.1,,,,05:42:27,1255992147,17:33:22,1256034802,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-21,1256058000,92.0,77.1,83.7,109.8,77.1,92.2,78.2,84.6,,0.0,0.0,,,,,9.2,211.6,1009.3,48.8,6.5,,,,05:42:33,1256078553,17:32:55,1256121175,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-22,1256144400,87.9,73.5,80.8,102.7,73.5,87.7,78.2,92.4,,0.0,0.0,,,,,15.0,270.2,1009.5,57.9,5.9,,,,05:42:41,1256164961,17:32:29,1256207549,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-23,1256230800,87.0,73.5,80.7,102.2,73.5,86.5,78.0,92.1,,0.0,0.0,,,,,12.8,258.4,1009.1,73.3,6.1,,,,05:42:48,1256251368,17:32:04,1256293924,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-24,1256317200,84.3,73.5,78.4,96.4,73.5,82.5,76.2,93.2,,0.0,0.0,,,,,11.4,303.2,1008.4,80.0,6.0,,,,05:42:56,1256337776,17:31:40,1256380300,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-25,1256403600,83.0,75.3,78.1,92.6,75.3,79.4,76.3,94.4,,0.0,0.0,,,,,11.4,132.4,1008.9,82.1,5.8,,,,05:43:05,1256424185,17:31:16,1256466676,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-26,1256490000,87.9,73.5,80.6,98.2,73.5,84.8,75.1,84.7,,0.0,0.0,,,,,12.8,113.1,1009.6,71.3,6.5,,,,05:43:15,1256510595,17:30:53,1256553053,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-27,1256576400,90.2,73.5,80.0,104.3,73.5,84.0,75.3,86.8,,0.0,0.0,,,,,13.9,190.2,1009.5,58.3,4.5,,,,05:43:25,1256597005,17:30:31,1256639431,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-28,1256662800,89.7,71.7,80.3,95.0,71.7,83.3,72.1,77.8,,0.0,0.0,,,,,10.3,117.5,1009.9,57.4,6.3,,,,05:43:36,1256683416,17:30:10,1256725810,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-29,1256749200,91.5,71.7,80.5,98.9,71.7,84.3,72.8,79.5,,0.0,0.0,,,,,10.3,130.7,1010.3,48.3,6.0,,,,05:43:47,1256769827,17:29:50,1256812190,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
2009-10-30,1256835600,89.7,73.5,79.8,101.3,73.5,83.4,75.0,86.5,,0.0,0.0,,,,,13.9,203.0,1009.7,55.4,6.1,,,,05:43:59,1256856239,17:29:31,1256898571,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['48900099999'],obs
