datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2015-04-06,1428253200,93.2,80.4,85.4,98.5,84.4,89.9,70.5,62.8,0.0,0.0,0.0,,,,,11.4,158.3,1008.5,40.6,6.5,316.9,27.4,10.0,05:47:35,1428274055,18:04:06,1428318246,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-07,1428339600,96.4,80.5,86.2,102.0,84.5,91.4,71.5,63.5,0.028,100.0,25.0,['rain'],,,25.3,13.2,135.1,1008.9,41.8,6.1,317.6,27.4,10.0,05:47:01,1428360421,18:04:06,1428404646,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-08,1428426000,97.4,79.9,86.7,100.6,79.9,89.3,67.0,54.1,0.0,0.0,0.0,,,,26.4,14.3,133.4,1009.6,34.4,6.4,322.6,27.8,10.0,05:46:26,1428446786,18:04:07,1428491047,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-09,1428512400,97.5,80.6,86.9,98.4,83.3,90.0,67.3,53.8,0.0,0.0,0.0,,,,28.9,12.8,126.9,1010.2,39.8,6.5,306.8,26.5,10.0,05:45:52,1428533152,18:04:08,1428577448,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-10,1428598800,96.1,80.6,86.6,99.3,84.3,90.5,69.1,57.7,0.0,0.0,0.0,,,,,13.4,129.5,1010.1,37.8,6.4,288.4,24.9,10.0,05:45:19,1428619519,18:04:09,1428663849,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-11,1428685200,95.0,82.3,86.8,99.8,86.2,91.2,69.5,57.7,0.0,0.0,0.0,,,,25.3,13.4,132.9,1011.0,40.1,6.5,292.9,25.4,10.0,05:44:45,1428705885,18:04:11,1428750251,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-12,1428771600,92.1,77.0,84.7,98.0,77.0,89.7,71.6,65.7,0.024,100.0,4.17,['rain'],,,,11.9,161.6,1012.2,52.1,6.2,285.3,24.5,10.0,05:44:12,1428792252,18:04:12,1428836652,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-13,1428858000,91.4,75.2,80.7,96.4,75.2,83.0,71.7,75.8,0.02,100.0,20.83,['rain'],,,,15.7,52.5,1012.1,69.0,5.8,264.4,22.7,9.0,05:43:39,1428878619,18:04:14,1428923054,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-14,1428944400,94.3,77.0,84.3,98.4,77.0,86.5,69.6,64.0,0.0,0.0,0.0,,,,,8.7,108.4,1010.3,62.2,5.8,311.2,26.8,10.0,05:43:07,1428964987,18:04:16,1429009456,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-15,1429030800,94.8,77.0,85.3,97.6,77.0,86.9,65.0,52.5,0.0,0.0,0.0,,,,,10.7,143.8,1011.3,39.2,6.4,309.1,26.9,10.0,05:42:35,1429051355,18:04:18,1429095858,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-16,1429117200,93.2,78.8,84.8,98.3,78.8,88.8,70.2,62.7,0.0,0.0,0.0,,,,,12.2,143.0,1011.9,31.5,6.4,283.2,24.4,9.0,05:42:04,1429137724,18:04:21,1429182261,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-17,1429203600,93.9,78.8,85.0,100.0,78.8,89.5,72.0,66.7,0.0,0.0,0.0,,,,,12.0,145.8,1010.2,45.6,6.3,284.6,24.5,10.0,05:41:33,1429224093,18:04:24,1429268664,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
