datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2017-12-14,1513184400,87.8,77.0,81.6,99.9,77.0,87.4,76.9,86.2,0.032,100.0,16.67,['rain'],,,,10.3,210.9,1010.3,54.1,5.8,230.2,19.9,8.0,06:02:50,1513206170,17:32:46,1513247566,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-15,1513270800,89.6,75.1,81.4,100.2,75.1,87.5,76.6,86.3,0.669,100.0,8.33,['rain'],,,,8.1,172.5,1010.4,54.5,4.5,211.4,18.4,7.0,06:03:21,1513292601,17:33:12,1513333992,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-16,1513357200,87.8,77.0,81.6,95.8,77.0,85.8,75.2,82.4,0.0,0.0,0.0,,,,,9.2,70.2,1011.0,55.5,5.2,231.1,19.9,8.0,06:03:53,1513379033,17:33:39,1513420419,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-17,1513443600,89.6,73.4,80.4,92.3,73.4,81.3,66.6,65.0,0.0,0.0,0.0,,,,,10.8,32.4,1012.5,43.5,6.3,249.2,21.6,9.0,06:04:24,1513465464,17:34:06,1513506846,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-18,1513530000,86.0,68.0,76.9,86.7,68.0,77.1,61.3,59.6,0.0,0.0,0.0,,,,,10.3,0.2,1012.9,26.3,6.4,255.5,22.2,9.0,06:04:55,1513551895,17:34:34,1513593274,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-19,1513616400,82.4,68.0,75.7,84.6,68.0,76.3,61.2,61.5,0.0,0.0,0.0,,,,,13.4,355.5,1012.6,51.8,5.7,195.9,16.9,8.0,06:05:26,1513638326,17:35:02,1513679702,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-20,1513702800,80.6,69.8,74.1,81.8,69.8,74.1,58.4,58.3,0.004,100.0,4.17,['rain'],,,20.8,14.0,7.0,1013.9,52.2,5.9,128.1,11.1,5.0,06:05:57,1513724757,17:35:31,1513766131,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-21,1513789200,84.2,69.8,76.2,85.7,69.8,76.6,63.3,64.8,0.06,100.0,12.5,['rain'],,,,17.2,3.0,1011.7,54.0,6.5,153.2,13.2,7.0,06:06:27,1513811187,17:36:00,1513852560,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-22,1513875600,87.8,69.8,78.0,94.2,69.8,80.3,69.9,77.1,0.004,100.0,4.17,['rain'],,,,8.9,3.3,1009.6,53.6,6.6,210.6,18.1,8.0,06:06:57,1513897617,17:36:30,1513938990,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-23,1513962000,91.4,75.2,82.5,99.9,75.2,86.6,72.8,74.2,0.0,0.0,0.0,,,,16.1,8.1,70.2,1008.2,44.9,6.5,241.2,20.8,9.0,06:07:26,1513984046,17:37:01,1514025421,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-24,1514048400,89.6,73.4,80.9,96.4,73.4,83.1,69.8,70.6,0.0,0.0,0.0,,,,,12.6,34.3,1008.1,43.8,6.2,167.5,14.5,7.0,06:07:55,1514070475,17:37:31,1514111851,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-25,1514134800,78.8,69.7,73.1,78.8,69.7,73.1,67.0,82.2,0.271,100.0,8.33,['rain'],,,,15.0,358.5,1007.2,66.3,5.4,99.3,8.5,4.0,06:08:24,1514156904,17:38:02,1514198282,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2017-12-26,1514221200,87.8,69.7,77.9,99.9,69.7,82.0,74.0,88.7,0.157,100.0,4.17,['rain'],,,24.2,12.8,99.8,1008.7,60.1,5.7,205.5,17.6,8.0,06:08:52,1514243332,17:38:34,1514284714,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48894099999', '48900099999', 'VVTS', 'remote']",obs
